train_condition,test_condition,phase,precision,recall,f1,jaccard
CRF51,Original,CleaningCoagulation,79.64771204288724,79.64771204288724,79.64771204288724,66.17881005408846
CRF51,Original,GallbladderRetraction,89.30232558139535,69.98784933171325,78.4741144414169,64.57399103139014
CRF51,CRF18,Preparation,99.78510028653295,39.0414798206278,56.124093473005644,39.008681041725005
CRF51,CRF18,CalotTriangleDissection,70.02836208934058,97.97301765756234,81.67659058330575,69.02825990727582
CRF51,CRF18,ClippingCutting,86.61496965610249,47.137614678899084,61.05038022813689,43.93706174106379
CRF51,CRF18,GallbladderDissection,87.88050476435745,63.69032065399978,73.85507748246904,58.547800425502714
CRF51,CRF18,GallbladderPackaging,67.62692527096407,78.61405835543766,72.70775835633243,57.118766562274146
CRF51,CRF18,CleaningCoagulation,75.28475863315856,79.72429638139,77.44095220383113,63.1866464339909
CRF51,CRF18,GallbladderRetraction,87.38518064911206,57.79667881733496,69.57581667479279,53.34579439252336
CRF51,CRF23,Preparation,98.56887298747765,46.328475336322875,63.03145853193517,46.01893095768374
CRF51,CRF23,CalotTriangleDissection,82.45303681239997,97.09675286026057,89.17773897198391,80.4691567783837
CRF51,CRF23,ClippingCutting,94.62242562929062,45.522935779816514,61.47175421209118,44.37488821319979
CRF51,CRF23,GallbladderDissection,85.72563559322035,84.58322445779984,85.15059844798107,74.14109024278515
CRF51,CRF23,GallbladderPackaging,68.96551724137932,84.88063660477454,76.09988109393579,61.42034548944337
CRF51,CRF23,CleaningCoagulation,75.92156862745098,74.13363967068734,75.01695243630728,60.02170206169586
CRF51,CRF23,GallbladderRetraction,93.19175515302935,60.429323612798704,73.31695331695332,57.874321179208685
CRF51,CRF28,Preparation,96.91056910569105,50.11210762331838,66.06318123037133,49.324137931034485
CRF51,CRF28,CalotTriangleDissection,78.0734164429441,97.12320613716024,86.56263354110486,76.30874749941545
CRF51,CRF28,ClippingCutting,96.10108303249098,24.42201834862385,38.94659839063643,24.182412790697676
CRF51,CRF28,GallbladderDissection,84.58912266772529,79.54010974653775,81.98695627080167,69.47279188810278
CRF51,CRF28,GallbladderPackaging,64.61612981351416,88.46153846153845,74.6815955213436,59.59347777529595
CRF51,CRF28,CleaningCoagulation,76.55656795747912,77.21615929542408,76.8849490039081,62.449674821926294
CRF51,CRF28,GallbladderRetraction,94.54131918119788,50.50627784528149,65.83949313621964,49.07516725698544
CRF51,CRF35,Preparation,99.4486215538847,55.60538116591929,71.32841991731081,55.434478904721985
CRF51,CRF35,CalotTriangleDissection,81.11180405941717,94.6134514913035,87.34393601758295,77.5314997967755
CRF51,CRF35,ClippingCutting,88.50371418464805,45.908256880733944,60.45668720550924,43.324675324675326
CRF51,CRF35,GallbladderDissection,84.98699079647393,81.69397887192504,83.30795584316711,71.39129016473659
CRF51,CRF35,GallbladderPackaging,75.47892720306514,84.91379310344827,79.91886409736308,66.55405405405406
CRF51,CRF35,CleaningCoagulation,75.78207381370827,82.55791690599273,79.02501603592046,65.32343584305409
CRF51,CRF35,GallbladderRetraction,88.27397260273972,65.24908869987848,75.03493246390312,60.04472605292583
CRF51,CRF51,Preparation,94.0131324835844,68.21748878923766,79.06447945427968,65.37738383024443
CRF51,CRF51,CalotTriangleDissection,94.01975868491375,76.7839428609219,84.53221696396068,73.20848702670324
CRF51,CRF51,ClippingCutting,76.2989095574086,43.65137614678899,55.53221288515407,38.439166262724186
CRF51,CRF51,GallbladderDissection,73.39753419616022,89.33517488521409,80.5859079047058,67.48442038180639
CRF51,CRF51,GallbladderPackaging,59.65119019561631,83.91909814323607,69.73412315745972,53.532148900169204
CRF51,CRF51,CleaningCoagulation,61.31616595135908,82.06011870572468,70.18750511749775,54.06837391194651
CRF51,CRF51,GallbladderRetraction,76.4424990051731,77.80477926285946,77.11762344439985,62.757268866383534
